date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:10	108/108	---M-Z	200	added ('OK')	text/plain	etag:%227971-1669198681;gz%22	https://webtend.net/robots.txt		(from )
20:19:10	40136/40136	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/?storefront=envato-elements	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/index04b9.html	(from )
20:19:11	2293/2293	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/img/favicon.png	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/img/favicon.png	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:13	161368/161368	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/css/bootstrap.min.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/css/bootstrap.min.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:14	1461/1461	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/css/slick.min.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/css/slick.min.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:15	5914/5914	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/css/magnific-popup.min.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/css/magnific-popup.min.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:15	3277/3277	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/css/nice-select.min.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/css/nice-select.min.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:16	54621/54621	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/css/animate.min.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/css/animate.min.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:17	79888/79888	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/fonts/fontawesome/css/all.min.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/fonts/fontawesome/css/all.min.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:18	3089/3089	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/fonts/flaticon/flaticon.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/fonts/flaticon/flaticon.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:18	38217/38217	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/css/spacing.min.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/css/spacing.min.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
20:19:20	196907/196907	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2008:12:34%20GMT	https://webtend.net/demo/html/landio/assets/css/style.css	C:/Users/DELL/Downloads/test/webtend.net/demo/html/landio/assets/css/style.css	(from https://webtend.net/demo/html/landio/?storefront=envato-elements)
